"searchTerm","semanticTags","confidence","annotatedProperty.propertyValue","derivedFrom.provenance.source.type"
"Toblerone White Chocolate Large Bar 360g","http://purl.obolibrary.org/obo/FOODON_03311018","MEDIUM","chocolate bar (artificially sweetened)","ONTOLOGY"
"Toblerone White Chocolate Large Bar 360g","http://purl.obolibrary.org/obo/FOODON_03301329","MEDIUM","white chocolate","ONTOLOGY"
"Walkers Prawn Cocktail Crisps 32.5g","http://purl.obolibrary.org/obo/NCBITaxon_139456","MEDIUM","Penaeus chinensis","ONTOLOGY"
"Walkers Prawn Cocktail Crisps 32.5g","http://purl.obolibrary.org/obo/NCBITaxon_159736","MEDIUM","Macrobrachium nipponense","ONTOLOGY"
"Dr Pepper","http://purl.obolibrary.org/obo/NCBITaxon_16739","MEDIUM","Piperaceae","ONTOLOGY"
"Dr Pepper","http://purl.obolibrary.org/obo/NCBITaxon_328401","MEDIUM","Zanthoxylum bungeanum","ONTOLOGY"
"Morrisons 5 Flapjack Slices","http://purl.obolibrary.org/obo/FOODON_03305077","MEDIUM","beet slices with garlic (pickled)","ONTOLOGY"
"Morrisons 5 Flapjack Slices","http://purl.obolibrary.org/obo/FOODON_03544037","MEDIUM","40370 - potato crisps from potato slices (efsa foodex2)","ONTOLOGY"
"Asda 6 Yorkshire Puddings 180g","http://purl.obolibrary.org/obo/FOODON_03303891","MEDIUM","yorkshire pudding popover","ONTOLOGY"
"Asda 6 Yorkshire Puddings 180g","http://purl.obolibrary.org/obo/FOODON_03540307","MEDIUM","03070 - puddings based on cereal products and/or nuts/fruits and similar (efsa foodex2)","ONTOLOGY"
"Morrisons Beef Slices 150g","http://purl.obolibrary.org/obo/FOODON_00001282","MEDIUM","ground beef food product","ONTOLOGY"
"Morrisons Beef Slices 150g","http://purl.obolibrary.org/obo/FOODON_03305077","MEDIUM","beet slices with garlic (pickled)","ONTOLOGY"
"Young's Admiral's Pie 300g","http://purl.obolibrary.org/obo/FOODON_00001720","GOOD","cherry pie","ONTOLOGY"
"Beans, green, boiled in unsalted water","http://purl.obolibrary.org/obo/FOODON_03306860","MEDIUM","peanut (green, boiled, packed in brine)","ONTOLOGY"
"Beans, green, boiled in unsalted water","http://purl.obolibrary.org/obo/FOODON_03543406","MEDIUM","34060 - coffee beans, green (efsa foodex2)","ONTOLOGY"
"Warburtons Multi Grain & Seed 400g","http://purl.obolibrary.org/obo/NCBITaxon_28502","MEDIUM","Amaranthus hypochondriacus","ONTOLOGY"
"Warburtons Multi Grain & Seed 400g","http://purl.obolibrary.org/obo/UBERON_0000468","MEDIUM","multicellular organism","ONTOLOGY"
"Milkybar White Chocolate Giant Buttons Sharing Bag 108g","http://purl.obolibrary.org/obo/FOODON_03301329","MEDIUM","white chocolate","ONTOLOGY"
"Milkybar White Chocolate Giant Buttons Sharing Bag 108g","http://purl.obolibrary.org/obo/FOODON_03302909","MEDIUM","white chocolate coating","ONTOLOGY"
"Sainsbury's Chargrilled Chicken Breast Slices 160g","http://purl.obolibrary.org/obo/FOODON_00002703","MEDIUM","chicken breast","ONTOLOGY"
"Sainsbury's Chargrilled Chicken Breast Slices 160g","http://purl.obolibrary.org/obo/FOODON_00003364","MEDIUM","chicken breast (skinless, boneless)","ONTOLOGY"
"Walkers Ready Salted Crisps 32.5g","http://purl.obolibrary.org/obo/FOODON_03315618","MEDIUM","salted sticks","ONTOLOGY"
"Walkers Ready Salted Crisps 32.5g","http://purl.obolibrary.org/obo/FOODON_03311400","MEDIUM","herring salted","ONTOLOGY"
"Weetabix 24 Pack","http://purl.obolibrary.org/obo/FOODON_03309016","MEDIUM","albacore solid-pack canned","ONTOLOGY"
"Weetabix 24 Pack","http://purl.obolibrary.org/obo/FOODON_03302988","MEDIUM","cold-pack cheese spread","ONTOLOGY"
"Jord Nordic Oat","http://purl.obolibrary.org/obo/FOODON_03520360","MEDIUM","europe, nordic countries","ONTOLOGY"
"Jord Nordic Oat","http://purl.obolibrary.org/obo/FOODON_00003774","MEDIUM","oat bran","ONTOLOGY"
"Tuna Pasta Salad","http://purl.obolibrary.org/obo/FOODON_03308735","MEDIUM","tuna salad","ONTOLOGY"
"Tuna Pasta Salad","http://purl.obolibrary.org/obo/FOODON_03307771","MEDIUM","tuna salad sandwich","ONTOLOGY"
"Salad, mixed","http://purl.obolibrary.org/obo/FOODON_03544021","MEDIUM","40210 - mixed green salad (efsa foodex2)","ONTOLOGY"
"Salad, mixed","http://purl.obolibrary.org/obo/FOODON_03544022","MEDIUM","40220 - mixed vegetable salad (efsa foodex2)","ONTOLOGY"
"Biscuits, digestive, half coated in chocolate","http://purl.obolibrary.org/obo/FOODON_03540240","MEDIUM","02400 - biscuits, chocolate (efsa foodex2)","ONTOLOGY"
"Biscuits, digestive, half coated in chocolate","http://purl.obolibrary.org/obo/FOODON_03303611","MEDIUM","chocolate-coated candy","ONTOLOGY"
"Bananas, raw, flesh only, weighed with skin","http://purl.obolibrary.org/obo/FOODON_03309423","MEDIUM","pollock fillet (with skin, raw)","ONTOLOGY"
"Bananas, raw, flesh only, weighed with skin","http://purl.obolibrary.org/obo/FOODON_03309422","MEDIUM","saithe fillet (with skin, raw)","ONTOLOGY"
"Rice, Thai fragrant, boiled in unsalted water","http://purl.obolibrary.org/obo/FOODON_03310654","GOOD","rice (boiled)","ONTOLOGY"
"Sun Soaked Patatas Bravas 490g","http://purl.obolibrary.org/obo/FOODON_03309036","MEDIUM","stockfish (soaked)","ONTOLOGY"
"Sun Soaked Patatas Bravas 490g","http://purl.obolibrary.org/obo/FOODON_03307185","MEDIUM","raisin (soaked in liquor)","ONTOLOGY"
"Waitrose Sweetcorn & Kale Fritters 185g","http://purl.obolibrary.org/obo/FOODON_03401737","GOOD","10006147 - sweetcorn (gs1 gpc)","ONTOLOGY"
"McVitie's Digestives Classic Caramel 267g","http://purl.obolibrary.org/obo/FOODON_03317034","MEDIUM","caramel","ONTOLOGY"
"McVitie's Digestives Classic Caramel 267g","http://purl.obolibrary.org/obo/FOODON_03316659","MEDIUM","caramel paste","ONTOLOGY"
"Weetabix with Red Berries 24 Biscuits","http://purl.obolibrary.org/obo/FOODON_03541570","MEDIUM","15700 - aronia berries (red) (efsa foodex2)","ONTOLOGY"
"Weetabix with Red Berries 24 Biscuits","http://purl.obolibrary.org/obo/FOODON_03400714","MEDIUM","24  red meat and meat products (efg)","ONTOLOGY"
"Yorkshire Provender Pea & Spinach Soup with Fresh Mint 600g","http://purl.obolibrary.org/obo/NCBITaxon_3888","MEDIUM","Pisum sativum","ONTOLOGY"
"Yorkshire Provender Pea & Spinach Soup with Fresh Mint 600g","http://purl.obolibrary.org/obo/NCBITaxon_3859","MEDIUM","Lathyrus odoratus","ONTOLOGY"
"Waitrose 4 Ciabatta Rolls 320g","http://purl.obolibrary.org/obo/FOODON_03400691","MEDIUM","01  bread and rolls (efg)","ONTOLOGY"
"Waitrose 4 Ciabatta Rolls 320g","http://purl.obolibrary.org/obo/FOODON_03543955","MEDIUM","39550 - spring rolls (efsa foodex2)","ONTOLOGY"
"Waitrose Wild Rocket Salad 50g","http://purl.obolibrary.org/obo/FOODON_03316042","GOOD","salad","ONTOLOGY"
"Vinegar","http://purl.obolibrary.org/obo/FOODON_03301705","GOOD","vinegar","ONTOLOGY"
"Pete's pasta","http://purl.obolibrary.org/obo/FOODON_03306347","MEDIUM","pasta","ONTOLOGY"
"Pete's pasta","http://purl.obolibrary.org/obo/FOODON_03306338","MEDIUM","pasta (canned)","ONTOLOGY"
"Mixed berries, frozen","http://purl.obolibrary.org/obo/FOODON_03310847","GOOD","mixed vegetables (frozen)","ONTOLOGY"
"Bonne Maman Blackcurrant Jam 370g","http://purl.obolibrary.org/obo/FOODON_03309973","GOOD","jam","ONTOLOGY"
"Eggs, chicken, whole, scrambled, without milk","http://purl.obolibrary.org/obo/FOODON_03542950","MEDIUM","29500 - whole eggs (efsa foodex2)","ONTOLOGY"
"Eggs, chicken, whole, scrambled, without milk","http://purl.obolibrary.org/obo/FOODON_03301816","MEDIUM","chocolate milk (whole)","ONTOLOGY"
"Marmite Spread Yeast Extract 125g","http://purl.obolibrary.org/obo/FOODON_03315426","MEDIUM","yeast extract","ONTOLOGY"
"Marmite Spread Yeast Extract 125g","http://purl.obolibrary.org/obo/FOODON_03544084","MEDIUM","40840 - yeast extract (efsa foodex2)","ONTOLOGY"
"Aubergine curry","http://purl.obolibrary.org/obo/FOODON_03310030","GOOD","squash curry","ONTOLOGY"
"Riya's Wholemeal Naan Bread","http://purl.obolibrary.org/obo/FOODON_03540154","MEDIUM","01540 - crisp bread, wheat, wholemeal (efsa foodex2)","ONTOLOGY"
"Riya's Wholemeal Naan Bread","http://purl.obolibrary.org/obo/FOODON_00002532","MEDIUM","naan","ONTOLOGY"
"Mango, frozen","http://purl.obolibrary.org/obo/NCBITaxon_29780","MEDIUM","Mangifera indica","ONTOLOGY"
"Mango, frozen","http://purl.obolibrary.org/obo/NCBITaxon_8144","MEDIUM","Sarotherodon galilaeus","ONTOLOGY"
"Alpro Coconut Original","http://purl.obolibrary.org/obo/FOODON_00003857","GOOD","coconut meat (frozen)","ONTOLOGY"
"Coffee, espresso shot, brewed","http://purl.obolibrary.org/obo/FOODON_03303102","MEDIUM","espresso coffee bean (roasted, medium ground)","ONTOLOGY"
"Coffee, espresso shot, brewed","http://purl.obolibrary.org/obo/FOODON_03543702","MEDIUM","37020 - coffee espresso (beverage) (efsa foodex2)","ONTOLOGY"
"Waitrose Asparagus","http://purl.obolibrary.org/obo/NCBITaxon_4686","MEDIUM","Asparagus officinalis","ONTOLOGY"
"Waitrose Asparagus","http://purl.obolibrary.org/obo/NCBITaxon_40552","MEDIUM","Asparagaceae","ONTOLOGY"
"Asda Vegetarian 2 Creamy Mushroom, Feta & Spinach Pies 400g","http://purl.obolibrary.org/obo/FOODON_03307280","GOOD","feta cheese","ONTOLOGY"
"Asda Smoky BBQ Marinade & Sauce 280g","http://purl.obolibrary.org/obo/FOODON_03316476","MEDIUM","fruit marinade","ONTOLOGY"
"Asda Smoky BBQ Marinade & Sauce 280g","http://purl.obolibrary.org/obo/FOODON_03316477","MEDIUM","vegetable marinade","ONTOLOGY"
"Sriracha Chilli Sauce","http://purl.obolibrary.org/obo/FOODON_03311146","MEDIUM","sauce","ONTOLOGY"
"Sriracha Chilli Sauce","http://purl.obolibrary.org/obo/FOODON_03311870","MEDIUM","leaf sauce","ONTOLOGY"
"Nuts, mixed","http://purl.obolibrary.org/obo/FOODON_03301367","MEDIUM","nuts (mixed)","ONTOLOGY"
"Nuts, mixed","http://purl.obolibrary.org/obo/FOODON_03400703","MEDIUM","13  nuts (efg)","ONTOLOGY"
"GLORIOUS! Super Soups Reviving Carrot, Butternut Squash & Ginger 600g","http://purl.obolibrary.org/obo/FOODON_00002981","MEDIUM","butternut squash (whole, raw)","ONTOLOGY"
"GLORIOUS! Super Soups Reviving Carrot, Butternut Squash & Ginger 600g","http://purl.obolibrary.org/obo/FOODON_03303946","MEDIUM","butternut squash (frozen)","ONTOLOGY"
"Cod fillets, breaded, baked","http://purl.obolibrary.org/obo/FOODON_03308522","MEDIUM","cod composite fillet (skinless, breaded)","ONTOLOGY"
"Cod fillets, breaded, baked","http://purl.obolibrary.org/obo/FOODON_03411423","MEDIUM","cod","ONTOLOGY"
"Broccoli, green, frozen, boiled in unsalted water","http://purl.obolibrary.org/obo/FOODON_03306860","MEDIUM","peanut (green, boiled, packed in brine)","ONTOLOGY"
"Broccoli, green, frozen, boiled in unsalted water","http://purl.obolibrary.org/obo/FOODON_03301384","MEDIUM","broccoli (frozen)","ONTOLOGY"
"Diced steak with veg","http://purl.obolibrary.org/obo/FOODON_03303374","MEDIUM","celery (diced)","ONTOLOGY"
"Diced steak with veg","http://purl.obolibrary.org/obo/FOODON_03307350","MEDIUM","clingstone peach (diced, canned)","ONTOLOGY"
"Chocolate Bar, Milk","http://purl.obolibrary.org/obo/FOODON_00003879","MEDIUM","milk chocolate bar","ONTOLOGY"
"Chocolate Bar, Milk","http://purl.obolibrary.org/obo/FOODON_03303766","MEDIUM","milk chocolate-flavored candy bar","ONTOLOGY"
"Bonne Maman Wild Blueberry Jam 370g","http://purl.obolibrary.org/obo/FOODON_03301125","MEDIUM","blueberry jam","ONTOLOGY"
"Bonne Maman Wild Blueberry Jam 370g","http://purl.obolibrary.org/obo/FOODON_03305970","MEDIUM","imitation wild cherry jam","ONTOLOGY"
"Mixed beans, canned, drained","http://purl.obolibrary.org/obo/FOODON_03311260","MEDIUM","lobster meat (canned, drained)","ONTOLOGY"
"Mixed beans, canned, drained","http://purl.obolibrary.org/obo/FOODON_03301466","MEDIUM","pork and beans (canned)","ONTOLOGY"
"Cheese, Halloumi","http://purl.obolibrary.org/obo/FOODON_00001030","MEDIUM","halloumi cheese food product","ONTOLOGY"
"Cheese, Halloumi","http://purl.obolibrary.org/obo/FOODON_03542754","MEDIUM","27540 - halloumi (efsa foodex2)","ONTOLOGY"
"Aubergine, fried in butter","http://purl.obolibrary.org/obo/FOODON_03311709","MEDIUM","garlic in butter","ONTOLOGY"
"Aubergine, fried in butter","http://purl.obolibrary.org/obo/FOODON_03306498","MEDIUM","mushroom in butter","ONTOLOGY"
"Roasted red peppers","http://purl.obolibrary.org/obo/FOODON_03311664","GOOD","lamb (roasted)","ONTOLOGY"
"Kofta, lamb, coated with breadcrumbs, homemade","http://purl.obolibrary.org/obo/FOODON_00003882","MEDIUM","kofta","ONTOLOGY"
"Kofta, lamb, coated with breadcrumbs, homemade","http://purl.obolibrary.org/obo/FOODON_03310776","MEDIUM","fruit punch homemade prepared with fruit","ONTOLOGY"
"Le Superbe Raclette Gourmet 150g","http://purl.obolibrary.org/obo/FOODON_00003278","MEDIUM","raclette (dish)","ONTOLOGY"
"Le Superbe Raclette Gourmet 150g","http://purl.obolibrary.org/obo/FOODON_03542845","MEDIUM","28450 - cheese, raclette (efsa foodex2)","ONTOLOGY"
"Potatoes, roasted/fried in olive oil","http://purl.obolibrary.org/obo/FOODON_03480038","MEDIUM","packed in olive oil","ONTOLOGY"
"Potatoes, roasted/fried in olive oil","http://purl.obolibrary.org/obo/FOODON_03302307","MEDIUM","anchovy in olive oil","ONTOLOGY"
"Gherkins, pickled, drained","http://purl.obolibrary.org/obo/FOODON_03540674","MEDIUM","06740 - gherkins (efsa foodex2)","ONTOLOGY"
"Gherkins, pickled, drained","http://purl.obolibrary.org/obo/FOODON_03401522","MEDIUM","10006449 - gherkins (gs1 gpc)","ONTOLOGY"
"Chorizo","http://purl.obolibrary.org/obo/FOODON_03316070","GOOD","chorizo","ONTOLOGY"
"Sesame mochi","http://purl.obolibrary.org/obo/FOODON_03411226","GOOD","sesame plant","ONTOLOGY"
"Bonne Maman Damson Plum Jam 370g","http://purl.obolibrary.org/obo/FOODON_03305782","MEDIUM","damson plum jam","ONTOLOGY"
"Bonne Maman Damson Plum Jam 370g","http://purl.obolibrary.org/obo/FOODON_03411662","MEDIUM","damson plum plant","ONTOLOGY"
"Dressing, blue cheese","http://purl.obolibrary.org/obo/FOODON_03303510","MEDIUM","blue cheese dressing","ONTOLOGY"
"Dressing, blue cheese","http://purl.obolibrary.org/obo/FOODON_03304705","MEDIUM","sour cream blue cheese dressing","ONTOLOGY"
"K""uhne Crispy Fried Onions 100g","http://purl.obolibrary.org/obo/FOODON_03310942","MEDIUM","peas and onions (raw)","ONTOLOGY"
"K""uhne Crispy Fried Onions 100g","http://purl.obolibrary.org/obo/FOODON_03316176","MEDIUM","onions in vinegar","ONTOLOGY"
"Rice, white, long grain, easy cook, boiled in unsalted water","http://purl.obolibrary.org/obo/FOODON_00003786","MEDIUM","long grain rice kernel","ONTOLOGY"
"Rice, white, long grain, easy cook, boiled in unsalted water","http://purl.obolibrary.org/obo/FOODON_03311294","MEDIUM","long grain rice kernel (raw)","ONTOLOGY"
"Spinach, mature, boiled in unsalted water","http://purl.obolibrary.org/obo/FOODON_03401852","GOOD","10006352 - water spinach /ong choy (gs1 gpc)","ONTOLOGY"
"Beansprouts, mung, boiled in unsalted water","http://purl.obolibrary.org/obo/FOODON_03306860","GOOD","peanut (green, boiled, packed in brine)","ONTOLOGY"
"Carrots, old, raw","http://purl.obolibrary.org/obo/FOODON_03401791","MEDIUM","10006122 - carrots (gs1 gpc)","ONTOLOGY"
"Carrots, old, raw","http://purl.obolibrary.org/obo/FOODON_03301378","MEDIUM","peas and carrots (canned)","ONTOLOGY"
"Avocado, average, flesh only","http://purl.obolibrary.org/obo/FOODON_03411470","GOOD","avocado plant","ONTOLOGY"
"Chicken, portions, not coated, deep-fried, meat and skin","http://purl.obolibrary.org/obo/FOODON_03420266","MEDIUM","skeletal meat part, with bone, without skin","ONTOLOGY"
"Chicken, portions, not coated, deep-fried, meat and skin","http://purl.obolibrary.org/obo/FOODON_03420265","MEDIUM","skeletal meat part, with bone, with skin","ONTOLOGY"
"Alpro Dairy Free Smooth Chocolate Dessert Pots 4 x 125g","http://purl.obolibrary.org/obo/FOODON_00001800","MEDIUM","dairy dessert food product","ONTOLOGY"
"Alpro Dairy Free Smooth Chocolate Dessert Pots 4 x 125g","http://purl.obolibrary.org/obo/FOODON_00001878","MEDIUM","frozen dairy dessert","ONTOLOGY"
"Vogel's Sensational Soya & Linseed 800g","http://purl.obolibrary.org/obo/FOODON_03302371","MEDIUM","soya bread","ONTOLOGY"
"Vogel's Sensational Soya & Linseed 800g","http://purl.obolibrary.org/obo/FOODON_03305013","MEDIUM","gluten soya bread","ONTOLOGY"
"Sainsbury's Watercress, Spinach & Rocket Salad 80g","http://purl.obolibrary.org/obo/FOODON_00003064","MEDIUM","watercress","ONTOLOGY"
"Sainsbury's Watercress, Spinach & Rocket Salad 80g","http://purl.obolibrary.org/obo/FOODON_03411492","MEDIUM","watercress plant","ONTOLOGY"
"Fishcakes, salmon, coated in breadcrumbs, baked","http://purl.obolibrary.org/obo/FOODON_03316000","MEDIUM","baked good (fine, small product, coated with chocolate)","ONTOLOGY"
"Fishcakes, salmon, coated in breadcrumbs, baked","http://purl.obolibrary.org/obo/FOODON_03543870","MEDIUM","38700 - fishcakes (efsa foodex2)","ONTOLOGY"
"Dill, fresh","http://purl.obolibrary.org/obo/FOODON_03306757","GOOD","dill pickle","ONTOLOGY"
"Croutons","http://purl.obolibrary.org/obo/FOODON_03540172","GOOD","01720 - croutons (efsa foodex2)","ONTOLOGY"
"Asda Extra Special Melting Layer 2 Salmon Fishcakes with Hollandaise Sauce 290g","http://purl.obolibrary.org/obo/FOODON_03301182","MEDIUM","hollandaise sauce","ONTOLOGY"
"Asda Extra Special Melting Layer 2 Salmon Fishcakes with Hollandaise Sauce 290g","http://purl.obolibrary.org/obo/FOODON_03304115","MEDIUM","hollandaise sauce mix","ONTOLOGY"
"Soupologie 5 a Day The Green Collection 600g","http://purl.obolibrary.org/obo/UO_0000033","GOOD","day","ONTOLOGY"
"Sea Bass or bream, grilled or baked","http://purl.obolibrary.org/obo/FOODON_03412388","GOOD","sea bream","ONTOLOGY"
"Plaice, in breadcrumbs, baked","http://purl.obolibrary.org/obo/FOODON_03412570","GOOD","plaice","ONTOLOGY"
"Courgette, fried in butter","http://purl.obolibrary.org/obo/FOODON_03311709","MEDIUM","garlic in butter","ONTOLOGY"
"Courgette, fried in butter","http://purl.obolibrary.org/obo/FOODON_03306498","MEDIUM","mushroom in butter","ONTOLOGY"
"Aubergine, fried in rapeseed oil","http://purl.obolibrary.org/obo/FOODON_03310482","MEDIUM","rapeseed oil","ONTOLOGY"
"Aubergine, fried in rapeseed oil","http://purl.obolibrary.org/obo/FOODON_03310855","MEDIUM","rapeseed oil press cake","ONTOLOGY"
"Venison in red wine and port, homemade","http://purl.obolibrary.org/obo/FOODON_03304053","MEDIUM","grouse in port wine jelly","ONTOLOGY"
"Venison in red wine and port, homemade","http://purl.obolibrary.org/obo/FOODON_03307358","MEDIUM","herring tidbit in port wine sauce","ONTOLOGY"
"Potatoes, old, potato wedges, with skin, cooked in sunflower oil, homemade","http://purl.obolibrary.org/obo/FOODON_03307538","GOOD","potato peeling (cooked in corn oil)","ONTOLOGY"
"Jaffa cakes","http://purl.obolibrary.org/obo/FOODON_03540254","MEDIUM","02540 - cakes (efsa foodex2)","ONTOLOGY"
"Jaffa cakes","http://purl.obolibrary.org/obo/FOODON_03401332","MEDIUM","pastries and cakes (eurofir)","ONTOLOGY"
"White rice, sticky / Sushi rice, cooked","http://purl.obolibrary.org/obo/FOODON_00003787","MEDIUM","white rice (whole)","ONTOLOGY"
"White rice, sticky / Sushi rice, cooked","http://purl.obolibrary.org/obo/FOODON_03304471","MEDIUM","white rice (beef-flavored)","ONTOLOGY"
"Sesame seeds","http://purl.obolibrary.org/obo/FOODON_03541185","MEDIUM","11850 - sesame seeds (efsa foodex2)","ONTOLOGY"
"Sesame seeds","http://purl.obolibrary.org/obo/FOODON_03541184","MEDIUM","11840 - sesame seeds and similar- (efsa foodex2)","ONTOLOGY"
"Essential Waitrose Wholegrain Apricot Wheats 500g","http://purl.obolibrary.org/obo/FOODON_03311886","GOOD","apricot juice","ONTOLOGY"
"MOMA Barista Edition Oat Unsweetened 1L","http://purl.obolibrary.org/obo/FOODON_03304598","MEDIUM","orange juice (unsweetened)","ONTOLOGY"
"MOMA Barista Edition Oat Unsweetened 1L","http://purl.obolibrary.org/obo/FOODON_03510105","MEDIUM","unsweetened claim or use","ONTOLOGY"
"Soup, mushroom, homemade","http://purl.obolibrary.org/obo/FOODON_03304249","MEDIUM","mushroom soup mix","ONTOLOGY"
"Soup, mushroom, homemade","http://purl.obolibrary.org/obo/FOODON_00002049","MEDIUM","mushroom soup food product","ONTOLOGY"
"Hovis Seed Sensations Seven Seeds 800g","http://purl.obolibrary.org/obo/PO_0009010","MEDIUM","seed","ONTOLOGY"
"Hovis Seed Sensations Seven Seeds 800g","http://purl.obolibrary.org/obo/NCBITaxon_58024","MEDIUM","Spermatophyta","ONTOLOGY"
"Coriander seeds, whole or ground","http://purl.obolibrary.org/obo/FOODON_03310370","MEDIUM","coriander (whole)","ONTOLOGY"
"Coriander seeds, whole or ground","http://purl.obolibrary.org/obo/FOODON_03541300","MEDIUM","13000 - coriander seeds and similar- (efsa foodex2)","ONTOLOGY"
"Cumin seeds, whole or ground","http://purl.obolibrary.org/obo/FOODON_00003024","MEDIUM","cumin seed (whole, dried)","ONTOLOGY"
"Cumin seeds, whole or ground","http://purl.obolibrary.org/obo/FOODON_00003396","MEDIUM","cumin seed (whole)","ONTOLOGY"
"Beans, chick peas, Kabuli, whole, dried, raw","http://purl.obolibrary.org/obo/FOODON_03306802","MEDIUM","alaska peas (whole, dried)","ONTOLOGY"
"Beans, chick peas, Kabuli, whole, dried, raw","http://purl.obolibrary.org/obo/FOODON_03301002","MEDIUM","whole wheat kernel (raw, dried)","ONTOLOGY"
"Tropicana Pineapple Juice 850ml","http://purl.obolibrary.org/obo/FOODON_03301276","MEDIUM","pineapple juice (liquid)","ONTOLOGY"
"Tropicana Pineapple Juice 850ml","http://purl.obolibrary.org/obo/FOODON_03304098","MEDIUM","pineapple and orange juice","ONTOLOGY"
"Curry paste","http://purl.obolibrary.org/obo/FOODON_03302920","GOOD","curry paste","ONTOLOGY"
"Tilda, Steamed Brown Basmati Rice","http://purl.obolibrary.org/obo/FOODON_03304585","MEDIUM","rice (steamed)","ONTOLOGY"
"Tilda, Steamed Brown Basmati Rice","http://purl.obolibrary.org/obo/FOODON_00003436","MEDIUM","brown rice","ONTOLOGY"
"Eggs, scrambled, with added fat and semi-skimmed milk","http://purl.obolibrary.org/obo/FOODON_03542656","MEDIUM","26560 - cow milk, semi skimmed (half fat) (efsa foodex2)","ONTOLOGY"
"Eggs, scrambled, with added fat and semi-skimmed milk","http://purl.obolibrary.org/obo/FOODON_03542657","MEDIUM","26570 - cow milk, skimmed (low fat) (efsa foodex2)","ONTOLOGY"
"Rice, brown, easy cook, boiled in unsalted water","http://purl.obolibrary.org/obo/FOODON_03310654","MEDIUM","rice (boiled)","ONTOLOGY"
"Rice, brown, easy cook, boiled in unsalted water","http://purl.obolibrary.org/obo/FOODON_00003436","MEDIUM","brown rice","ONTOLOGY"
"Waitrose Easy to Cook Chicken Schnitzel with Katsu Spices 290g","http://purl.obolibrary.org/obo/FOODON_03305542","MEDIUM","vinegar (flavored with spices)","ONTOLOGY"
"Waitrose Easy to Cook Chicken Schnitzel with Katsu Spices 290g","http://purl.obolibrary.org/obo/FOODON_03316637","MEDIUM","food (ready-to-cook)","ONTOLOGY"
"Pasta, wholemeal, dried","http://purl.obolibrary.org/obo/FOODON_03306312","MEDIUM","pasta (dried)","ONTOLOGY"
"Pasta, wholemeal, dried","http://purl.obolibrary.org/obo/FOODON_03540177","MEDIUM","01770 - pasta wholemeal (efsa foodex2)","ONTOLOGY"
"Avocado, Hass, flesh only","http://purl.obolibrary.org/obo/FOODON_00002982","GOOD","hass avocado","ONTOLOGY"
"Sainsbury's Halloumi 225g","http://purl.obolibrary.org/obo/FOODON_00001030","MEDIUM","halloumi cheese food product","ONTOLOGY"
"Sainsbury's Halloumi 225g","http://purl.obolibrary.org/obo/FOODON_03542754","MEDIUM","27540 - halloumi (efsa foodex2)","ONTOLOGY"
"Yolk Folk 2 Poached Eggs 90g","http://purl.obolibrary.org/obo/FOODON_03542979","MEDIUM","29790 - poached eggs (efsa foodex2)","ONTOLOGY"
"Yolk Folk 2 Poached Eggs 90g","http://purl.obolibrary.org/obo/FOODON_00002799","MEDIUM","hen egg (poached)","ONTOLOGY"
"Burger, beef, grilled, homemade","http://purl.obolibrary.org/obo/FOODON_03310244","MEDIUM","beef (grilled)","ONTOLOGY"
"Burger, beef, grilled, homemade","http://purl.obolibrary.org/obo/FOODON_03311843","MEDIUM","mayonnaise (homemade)","ONTOLOGY"
"Wholegrain burger bun","http://purl.obolibrary.org/obo/FOODON_00003177","MEDIUM","vegetarian burger","ONTOLOGY"
"Wholegrain burger bun","http://purl.obolibrary.org/obo/FOODON_03311366","MEDIUM","buffalo burger","ONTOLOGY"
"Whole Earth Crunchy Organic Peanut Butter 227g","http://purl.obolibrary.org/obo/FOODON_03306867","MEDIUM","peanut butter","ONTOLOGY"
"Whole Earth Crunchy Organic Peanut Butter 227g","http://purl.obolibrary.org/obo/FOODON_00003206","MEDIUM","peanut (whole)","ONTOLOGY"
"New Covent Garden Soup Co. Taste of Health Chicken & Pinhead Oats 600g","http://purl.obolibrary.org/obo/FOODON_03304199","MEDIUM","cream of chicken soup (condensed)","ONTOLOGY"
"New Covent Garden Soup Co. Taste of Health Chicken & Pinhead Oats 600g","http://purl.obolibrary.org/obo/FOODON_03305127","MEDIUM","cream of chicken soup","ONTOLOGY"
"Sainsbury's Classics Cumberland Pie 400g","http://purl.obolibrary.org/obo/FOODON_00001720","GOOD","cherry pie","ONTOLOGY"
"Fin Carre, White Chocolate","http://purl.obolibrary.org/obo/FOODON_03301329","MEDIUM","white chocolate","ONTOLOGY"
"Fin Carre, White Chocolate","http://purl.obolibrary.org/obo/FOODON_03302909","MEDIUM","white chocolate coating","ONTOLOGY"
"Sainsbury's New York Cheesecake 450g","http://purl.obolibrary.org/obo/FOODON_03301729","MEDIUM","cheesecake","ONTOLOGY"
"Sainsbury's New York Cheesecake 450g","http://purl.obolibrary.org/obo/FOODON_03311873","MEDIUM","cheesecake batter","ONTOLOGY"
"Crispbread, rye","http://purl.obolibrary.org/obo/FOODON_03302470","MEDIUM","rye crispbread","ONTOLOGY"
"Crispbread, rye","http://purl.obolibrary.org/obo/FOODON_00003185","MEDIUM","crispbread","ONTOLOGY"
"Salami","http://purl.obolibrary.org/obo/FOODON_03312067","GOOD","salami","ONTOLOGY"
